signature,gene,marker_rank_or_original_index
B0_Plasma_IgA,XBP1,18
B0_Plasma_IgA,TXNDC5,24
B0_Plasma_IgA,SEC11C,14
B0_Plasma_IgA,MZB1,2
B0_Plasma_IgA,JCHAIN,11
B0_Plasma_IgA,IGLV3-1,16
B0_Plasma_IgA,IGLC1,7
B0_Plasma_IgA,IGKC,1
B0_Plasma_IgA,IGHA2,5
B0_Plasma_IgA,IGHA1,21
B0_Plasma_IgA,FKBP11,15
B0_Plasma_IgA,DERL3,23
B0_Plasma_IgA,CD79A,164
B1_Plasma_IgG,XBP1,165
B1_Plasma_IgG,TXNDC5,162
B1_Plasma_IgG,MZB1,156
B1_Plasma_IgG,JCHAIN,146
B1_Plasma_IgG,IGLV3-1,158
B1_Plasma_IgG,IGLC1,145
B1_Plasma_IgG,IGKC,154
B1_Plasma_IgG,IGHG4,155
B1_Plasma_IgG,IGHG3,140
B1_Plasma_IgG,IGHG1,153
B1_Plasma_IgG,IGHA1,167
B1_Plasma_IgG,FKBP11,161
B1_Plasma_IgG,DERL3,166
B1_Plasma_IgG,CD79A,
